The capital of Mongolia is this city.\n1. Davao\n2. Islamabad\n3. Ulaanbaatar,3
The symbol for the chemical element iron is this.\n1. I\n2. Fe\n3. Zn,2
The author of the novel A Portrait of the Artist as a Young Man is this writer.\n1. James Joyce\n2. Samuel Beckett\n3. William Faulkner,1
The US bought Alaska in this year.\n1. 1942\n2. 1882\n3. 1867,3
Tom Cruise had a lead role in all but which of these movies?\n1. Rain Man\n2. The Firm\n3. Endless Love,3
This movie directed by Stanley Kubrick stars Malcolm McDowell as Alex DeLarge.\n1. A Clockwork Orange\n2. A Backward Peach\n3. A Future of Red,1
In the film The Hunt For Red October what was the unique quality of the Russian submarine Red October?\n1. It was a laser guided sub that tracks 24 targets at the same time\n2. It was built with a revolutionary stealth propulsion system called the caterpillar drive\n3. Its stealth armor confuses the enemy sonar,2
One of the first known blondes was this Greek goddess whose hair was described by Homer as golden.\n1. Demeter\n2. Aphrodite\n3. Hera,2
The movie Trois Couleurs: Rouge (Three Colors: Red) is about a girl who discovers her neighbour is keen on invading peoples privacy. This is her profession.\n1. Photographer\n2. Teacher\n3. Model,3
This huge company is often referred to as Big Blue.\n1. Hewlett-Packard\n2. Microsoft\n3. IBM,3
